modbusAddr,name,register,datatype,desc
300657,AutbusPADev44_slot0_var4.AutbusPADev44_slot0_var4,Input Registers,UINT,year
300658,AutbusPADev44_slot0_var5.AutbusPADev44_slot0_var5,Input Registers,USINT,month
300659,AutbusPADev44_slot0_var6.AutbusPADev44_slot0_var6,Input Registers,USINT,day
300660,AutbusPADev44_slot0_var7.AutbusPADev44_slot0_var7,Input Registers,USINT,hour
300661,AutbusPADev44_slot0_var8.AutbusPADev44_slot0_var8,Input Registers,USINT,minute
300662,AutbusPADev44_slot0_var9.AutbusPADev44_slot0_var9,Input Registers,USINT,second
400202,AutbusPADev44_slot0_var10.AutbusPADev44_slot0_var10,Holding Registers,USINT,OutData1
400203,AutbusPADev44_slot0_var11.AutbusPADev44_slot0_var11,Holding Registers,USINT,OutData2
300663,AutbusPADev44_slot0_alarm1.AutbusPADev44_slot0_alarm1,Input Registers,USINT,alarm1
300664,AutbusPADev44_slot0_alarm2.AutbusPADev44_slot0_alarm2,Input Registers,USINT,alarm2
400204,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400205,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300665,null.null,Input Registers,UINT,undefined
300666,AutbusPADev45_slot0_var1.AutbusPADev45_slot0_var1,Input Registers,USINT,InData1
300667,AutbusPADev45_slot0_var2.AutbusPADev45_slot0_var2,Input Registers,UINT,InData2
300668,AutbusPADev45_slot0_var3.AutbusPADev45_slot0_var3,Input Registers,ULINT,timer
300672,AutbusPADev45_slot0_var4.AutbusPADev45_slot0_var4,Input Registers,UINT,year
300673,AutbusPADev45_slot0_var5.AutbusPADev45_slot0_var5,Input Registers,USINT,month
300674,AutbusPADev45_slot0_var6.AutbusPADev45_slot0_var6,Input Registers,USINT,day
300675,AutbusPADev45_slot0_var7.AutbusPADev45_slot0_var7,Input Registers,USINT,hour
300676,AutbusPADev45_slot0_var8.AutbusPADev45_slot0_var8,Input Registers,USINT,minute
300677,AutbusPADev45_slot0_var9.AutbusPADev45_slot0_var9,Input Registers,USINT,second
400206,AutbusPADev45_slot0_var10.AutbusPADev45_slot0_var10,Holding Registers,USINT,OutData1
400207,AutbusPADev45_slot0_var11.AutbusPADev45_slot0_var11,Holding Registers,USINT,OutData2
300678,AutbusPADev45_slot0_alarm1.AutbusPADev45_slot0_alarm1,Input Registers,USINT,alarm1
300679,AutbusPADev45_slot0_alarm2.AutbusPADev45_slot0_alarm2,Input Registers,USINT,alarm2
400208,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400209,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300680,null.null,Input Registers,UINT,undefined
300681,AutbusPADev46_slot0_var1.AutbusPADev46_slot0_var1,Input Registers,USINT,InData1
300682,AutbusPADev46_slot0_var2.AutbusPADev46_slot0_var2,Input Registers,UINT,InData2
300683,AutbusPADev46_slot0_var3.AutbusPADev46_slot0_var3,Input Registers,ULINT,timer
300687,AutbusPADev46_slot0_var4.AutbusPADev46_slot0_var4,Input Registers,UINT,year
300688,AutbusPADev46_slot0_var5.AutbusPADev46_slot0_var5,Input Registers,USINT,month
300689,AutbusPADev46_slot0_var6.AutbusPADev46_slot0_var6,Input Registers,USINT,day
300690,AutbusPADev46_slot0_var7.AutbusPADev46_slot0_var7,Input Registers,USINT,hour
300691,AutbusPADev46_slot0_var8.AutbusPADev46_slot0_var8,Input Registers,USINT,minute
300692,AutbusPADev46_slot0_var9.AutbusPADev46_slot0_var9,Input Registers,USINT,second
400210,AutbusPADev46_slot0_var10.AutbusPADev46_slot0_var10,Holding Registers,USINT,OutData1
400211,AutbusPADev46_slot0_var11.AutbusPADev46_slot0_var11,Holding Registers,USINT,OutData2
300693,AutbusPADev46_slot0_alarm1.AutbusPADev46_slot0_alarm1,Input Registers,USINT,alarm1
300694,AutbusPADev46_slot0_alarm2.AutbusPADev46_slot0_alarm2,Input Registers,USINT,alarm2
400212,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
